IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
104.20.178.97,443,true,AMS,Europe,Amsterdam,215 мс
104.20.178.117,443,true,AMS,Europe,Amsterdam,215 мс
104.20.178.82,443,true,AMS,Europe,Amsterdam,216 мс
104.20.175.88,443,true,AMS,Europe,Amsterdam,217 мс
104.20.175.123,443,true,AMS,Europe,Amsterdam,217 мс
104.20.175.69,443,true,AMS,Europe,Amsterdam,217 мс
104.20.175.82,443,true,AMS,Europe,Amsterdam,218 мс
104.20.175.70,443,true,AMS,Europe,Amsterdam,219 мс
104.20.175.106,443,true,AMS,Europe,Amsterdam,219 мс
104.20.178.126,443,true,AMS,Europe,Amsterdam,219 мс
104.20.179.32,443,true,AMS,Europe,Amsterdam,220 мс
104.20.175.99,443,true,AMS,Europe,Amsterdam,220 мс
104.20.175.67,443,true,AMS,Europe,Amsterdam,221 мс
104.20.175.115,443,true,AMS,Europe,Amsterdam,221 мс
104.20.178.124,443,true,AMS,Europe,Amsterdam,222 мс
104.20.175.78,443,true,AMS,Europe,Amsterdam,222 мс
104.20.175.108,443,true,AMS,Europe,Amsterdam,222 мс
104.20.175.89,443,true,AMS,Europe,Amsterdam,222 мс
104.20.181.245,443,true,AMS,Europe,Amsterdam,167 мс
104.20.182.49,443,true,AMS,Europe,Amsterdam,168 мс
104.20.182.41,443,true,AMS,Europe,Amsterdam,170 мс
104.20.179.60,443,true,AMS,Europe,Amsterdam,172 мс
104.20.179.44,443,true,AMS,Europe,Amsterdam,173 мс
104.20.179.57,443,true,AMS,Europe,Amsterdam,176 мс
104.20.182.67,443,true,AMS,Europe,Amsterdam,177 мс
104.20.182.75,443,true,AMS,Europe,Amsterdam,179 мс
104.20.182.68,443,true,AMS,Europe,Amsterdam,179 мс
104.20.179.76,443,true,AMS,Europe,Amsterdam,183 мс
104.20.179.72,443,true,AMS,Europe,Amsterdam,184 мс
104.20.182.83,443,true,AMS,Europe,Amsterdam,185 мс
104.20.183.21,443,true,AMS,Europe,Amsterdam,166 мс
104.20.183.45,443,true,AMS,Europe,Amsterdam,173 мс
104.20.186.53,443,true,AMS,Europe,Amsterdam,173 мс
104.20.186.63,443,true,AMS,Europe,Amsterdam,174 мс
104.20.183.59,443,true,AMS,Europe,Amsterdam,177 мс
104.20.186.80,443,true,AMS,Europe,Amsterdam,180 мс
104.20.186.100,443,true,AMS,Europe,Amsterdam,188 мс
104.20.186.249,443,true,AMS,Europe,Amsterdam,164 мс
104.20.190.37,443,true,AMS,Europe,Amsterdam,164 мс
104.20.188.195,443,true,AMS,Europe,Amsterdam,166 мс
104.20.188.176,443,true,AMS,Europe,Amsterdam,166 мс
104.20.187.119,443,true,AMS,Europe,Amsterdam,166 мс
104.20.187.4,443,true,AMS,Europe,Amsterdam,167 мс
104.20.187.134,443,true,AMS,Europe,Amsterdam,167 мс
104.20.190.211,443,true,AMS,Europe,Amsterdam,167 мс
104.20.186.255,443,true,AMS,Europe,Amsterdam,169 мс
104.20.189.27,443,true,AMS,Europe,Amsterdam,169 мс
104.20.188.245,443,true,AMS,Europe,Amsterdam,169 мс
104.20.190.216,443,true,AMS,Europe,Amsterdam,170 мс
104.20.190.44,443,true,AMS,Europe,Amsterdam,172 мс
104.20.190.218,443,true,AMS,Europe,Amsterdam,163 мс
104.20.190.221,443,true,AMS,Europe,Amsterdam,164 мс
104.20.191.221,443,true,AMS,Europe,Amsterdam,165 мс
104.20.190.219,443,true,AMS,Europe,Amsterdam,165 мс
104.20.190.224,443,true,AMS,Europe,Amsterdam,166 мс
104.20.193.227,443,true,AMS,Europe,Amsterdam,166 мс
