IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
5.10.245.137,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.247.172,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.244.112,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.245.68,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.244.104,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.246.151,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.244.196,443,true,HKG,Asia Pacific,Hong Kong,114 мс
5.10.246.141,443,true,HKG,Asia Pacific,Hong Kong,115 мс
5.10.244.115,443,true,HKG,Asia Pacific,Hong Kong,115 мс
5.10.244.171,443,true,HKG,Asia Pacific,Hong Kong,115 мс
5.10.244.111,443,true,HKG,Asia Pacific,Hong Kong,115 мс
5.10.245.135,443,true,HKG,Asia Pacific,Hong Kong,115 мс
5.10.245.95,443,true,HKG,Asia Pacific,Hong Kong,115 мс
5.10.247.173,443,true,HKG,Asia Pacific,Hong Kong,115 мс
5.10.247.200,443,true,HKG,Asia Pacific,Hong Kong,115 мс
5.10.244.234,443,true,HKG,Asia Pacific,Hong Kong,115 мс
5.10.246.216,443,true,HKG,Asia Pacific,Hong Kong,115 мс
5.10.245.131,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.244.101,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.245.216,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.246.175,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.246.200,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.245.226,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.246.242,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.244.169,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.245.7,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.247.44,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.244.106,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.245.9,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.246.188,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.246.215,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.246.169,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.244.102,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.246.173,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.246.170,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.245.99,443,true,HKG,Asia Pacific,Hong Kong,116 мс
5.10.245.5,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.247.67,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.247.63,443,true,HKG,Asia Pacific,Hong Kong,117 мс
